Cage ID,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14
1,15,20,35,50,50,50,50,60,75,80,75,75,75,60
,4,10,10,12,11,15,0,3,8,7,2,12,11,3
2,15,20,35,50,50,50,50,60,75,80,75,-1,,
,5,8,0,22,6,9,0,0,0,0,0,-1,,
3,15,20,35,50,50,50,50,60,75,80,75,75,75,60
,10,6,10,14,9,13,10,5,20,14,21,12,26,-2
4,15,20,35,50,50,50,50,60,75,80,75,-1,,
,4,16,9,6,4,15,0,0,12,8,5,-1,,
5,15,20,35,50,50,50,50,60,75,80,75,-1,,
,11,1,5,31,4,8,8,2,12,9,16,-1,,
6,15,20,,,,,,,,,,,,
,6,-2,,,,,,,,,,,,
7,15,20,35,50,50,50,50,60,75,,,,,
,9,8,17,15,4,18,10,5,-2,,,,,
8,15,20,35,50,50,50,50,,,,,,,
,14,8,4,17,8,8,-2,,,,,,,
9,15,20,35,50,50,50,50,60,75,-1,,,,
,6,8,16,7,8,9,0,0,23,-1,,,,
10,15,20,35,50,50,,,,,,,,,
,8,3,3,17,-2,,,,,,,,,
11,15,20,35,50,50,50,50,60,75,80,75,75,75,60
,5,11,1,15,8,17,6,8,28,24,11,5,12,19
12,15,20,35,50,50,50,50,60,75,80,75,75,75,60
,3,14,5,23,0,12,1,0,0,5,1,16,18,-2
13,15,20,35,50,50,50,50,60,75,80,75,75,-1,
,8,3,13,19,2,9,0,3,3,11,9,10,-1,
14,15,20,35,50,50,50,50,60,75,80,75,75,75,-1
,3,9,5,13,5,8,8,1,7,6,1,9,35,-1
15,15,20,35,50,50,50,50,60,75,80,75,75,-1,
,0,3,0,10,12,9,10,0,0,1,2,12,-1,
16,15,20,35,50,,,,,,,,,,
,9,9,12,-2,,,,,,,,,,
17,15,20,35,50,50,50,50,60,75,80,75,-1,,
,8,3,11,13,19,5,0,1,12,30,8,-1,,
18,15,20,35,50,50,50,50,60,75,80,75,75,75,-1
,8,3,0,30,14,9,2,5,6,10,4,16,23,-1
19,15,20,35,50,50,50,50,,,,,,,
,8,7,9,10,8,16,-2,,,,,,,
20,15,20,35,,,,,,,,,,,
,10,10,-2,,,,,,,,,,,
,,,,,,,,,,,,,,
1,75,80,,,,,,,,,,,,
,17,0,,,,,,,,,,,,
2,75,80,,,,,,,,,,,,
,0,8,,,,,,,,,,,,
3,75,80,,,,,,,,,,,,
,13,6,,,,,,,,,,,,
4,75,80,,,,,,,,,,,,
,6,-2,,,,,,,,,,,,
5,75,80,,,,,,,,,,,,
,11,0,,,,,,,,,,,,
6,75,80,,,,,,,,,,,,
,0,28,,,,,,,,,,,,
7,80,80,,,,,,,,,,,,
,26,34,,,,,,,,,,,,
8,80,80,,,,,,,,,,,,
,23,15,,,,,,,,,,,,
9,80,80,,,,,,,,,,,,
,18,45,,,,,,,,,,,,
10,80,60,,,,,,,,,,,,
,66,23,,,,,,,,,,,,
11,80,60,,,,,,,,,,,,
,25,15,,,,,,,,,,,,
12,80,60,,,,,,,,,,,,
,19,15,,,,,,,,,,,,
13,80,60,,,,,,,,,,,,
,56,17,,,,,,,,,,,,
14,80,60,,,,,,,,,,,,
,10,12,,,,,,,,,,,,
15,50,60,,,,,,,,,,,,
,11,4,,,,,,,,,,,,
16,50,60,,,,,,,,,,,,
,2,24,,,,,,,,,,,,
17,50,60,,,,,,,,,,,,
,10,17,,,,,,,,,,,,
18,50,60,,,,,,,,,,,,
,13,16,,,,,,,,,,,,
19,50,60,,,,,,,,,,,,
,5,41,,,,,,,,,,,,
20,50,75,,,,,,,,,,,,
,4,2,,,,,,,,,,,,
21,50,75,,,,,,,,,,,,
,8,20,,,,,,,,,,,,
22,50,75,,,,,,,,,,,,
,24,16,,,,,,,,,,,,
23,50,75,,,,,,,,,,,,
,15,30,,,,,,,,,,,,
24,50,,,,,,,,,,,,,
,12,,,,,,,,,,,,,